depth_dome,age_dome,deuterium_dome,temp_dome,depth_vos,age_vos,deiterium_vos,deltaTS,age_composite,CO2_composite
189.75,5617.6,-396.2,0,320,15056.7,-451.7,-3.64,14787.83,227.79
190.3,5637.31,-394,1.23,,,,,14799.14,228.5
190.85,5657.03,-399.1,-0.26,,,,,14810.61,227.58
191.4,5676.74,-395.2,0.1,,,,,14822.39,226.51
191.95,5696.92,-396,-0.75,,,,,14834.75,228.4
192.5,5717.1,-400.4,-0.1,,,,,14844.77,227.87
193.05,5737.28,-391.1,-0.24,,,,,14857.53,233.17
193.6,5756.82,-399.2,-0.97,,,,,14869.18,232.22
194.15,5776.36,-386.2,0.57,,,,,14880.66,227.85
194.7,5795.9,-398.9,-0.77,,,,,14892.46,230.63
195.25,5814.73,-389,1.38,,,,,14904.21,228.72
195.8,5833.56,-388.4,-0.72,,,,,14915.91,228.36
196.35,5852.38,-400.4,0.91,,,,,14929.02,228.47
196.9,5871.37,-392.7,1.01,,,,,14953.66,228.89
197.45,5890.35,-391,-0.98,,,,,14976.48,229.79
198,5909.33,-392.5,0.29,,,,,14987.26,227.65
198.55,5929.47,-397.7,0.57,,,,,15011.48,228.37
